id;region;city;type;date;fact;bandwidth
1;Fantastic Rubber Bacon withdrawal;Josefinaborough;Analyst;2019-12-25;20486;2388
2;Tasty;Kaiafort;time-frame;2019-12-25;61591;1730
3;bypass;Westview;Consultant gold bandwidth;2019-12-25;88443;14053
4;Lithuania dynamic;North Darianaberg;real-time Awesome Fresh Soap Drive;2019-12-25;93806;12816
5;Human Officer tangible;Nikolausberg;Borders Investment Account;2019-12-25;65470;3797
6;Creative orchestrate Planner;New Micaela;Baby;2019-12-25;43063;50934
7;HDD PCI;Weissnatville;PCI;2019-12-25;97829;32037
8;Applications;Greysonbury;synthesize system Programmable;2019-12-24;76947;15068
9;Views;Minervastad;lime complexity;2019-12-25;51103;97626
10;partnerships;North Laurel;Pants;2019-12-24;23421;96341
